symbol,name,period,smooth,prominence,theme,focus,業務方向
# ETF
0050.TW,元大台灣50,20,10,0.03,ETF,台股指數型,追蹤臺灣證券交易所市值前 50 大的上市公司。
006208.TW,富邦台50,20,8,0.02,ETF,台股指數型,追蹤臺灣50指數，為 0050 的另一檔人氣選擇。
0052.TW,富邦科技,20,8,0.02,ETF,主題型,追蹤台灣資訊科技指數，主要投資於電子、半導體等科技產業。
00891.TW,中信關鍵半導體,20,10,0.05,ETF,主題型,追蹤臺灣半導體領頭企業指數，鎖定半導體產業龍頭。
00679B.TW,元大美債20年,20,10,0.02,ETF,債券型,追蹤彭博20年期以上美國公債指數。
00761B.TW,國泰A級公司債,20,9,0.03,ETF,債券型,追蹤彭博10年期以上美元A級公司債指數。
0056.TW,元大高股息,20,9,0.04,ETF,高股息型,追蹤預測未來一年現金股利殖利率最高的 50 檔股票。
00878.TW,國泰永續高股息,20,7,0.02,ETF,高股息型,追蹤永續高股息指數，將 ESG 納入選股考量。
00929.TW,復華台灣科技優息,20,8,0.03,ETF,高股息型,專注於科技類股，且每月配息。

# 機器人概念股
2049.TW,上銀,20,9,0.02,機器人概念,工業機器人與自動化,台灣最大的機器人製造商，產品包含工業用機器人、機械手臂，也生產線性滑軌等關鍵零組件。
2395.TW,研華,20,5,0.02,機器人概念,工業機器人與自動化,工業電腦龍頭，提供自動化控制、機器視覺等解決方案，是實現智慧工廠的重要推手。
6215.TW,和椿,20,8,0.04,機器人概念,工業機器人與自動化,專注於工業自動化設備，生產工業用機器人、自動化組裝設備等。
1536.TW,和大,20,7,0.04,機器人概念,工業機器人與自動化,主要生產車用齒輪與傳動系統，也應用於工業機器人的精密減速齒輪，是其核心關鍵零組件。

# AI概念股
2330.TW,台積電,20,8,0.04,AI概念股,IC 設計與製造,全球最大的晶圓代工廠，為輝達（NVIDIA）等公司代工 AI 晶片，是 AI 產業最上游的關鍵供應商。
2317.TW,鴻海,20,5,0.04,AI概念股,伺服器供應鏈,全球主要的 AI 伺服器供應商，為雲端服務供應商（CSP）提供大型伺服器產品。
2382.TW,廣達,20,5,0.02,AI概念股,伺服器供應鏈,全球主要的 AI 伺服器供應商，為雲端服務供應商（CSP）提供大型伺服器產品。
3231.TW,緯創,20,8,0.05,AI概念股,伺服器供應鏈,筆電與伺服器代工大廠，是輝達 AI 伺服器主板與系統組裝的主要供應商之一。
2376.TW,技嘉,20,8,0.04,AI概念股,伺服器供應鏈,主板與顯示卡大廠，近年積極佈局伺服器業務，已成為 AI 伺服器市場的重要玩家。
3017.TW,奇鋐,20,5,0.04,AI概念股,散熱解決方案,伺服器散熱模組供應商，受惠於 AI 伺服器對散熱需求的提升。
3324.TW,雙鴻,20,5,0.03,AI概念股,散熱解決方案,筆電與伺服器散熱模組大廠，提供包括水冷散熱在內的高階解決方案。

# 房地產概念股
2542.TW,興富發,20,5,0.03,房地產概念,營建營造,大型住宅開發，也跨足商用不動產。
2520.TW,冠德,20,5,0.03,房地產概念,營建營造,專注於捷運共構宅、公辦都更案與住宅開發。
2501.TW,國建,20,8,0.03,房地產概念,營建營造,不動產建設。
2881.TW,富邦金,20,5,0.04,房地產概念,金融與保險,旗下富邦人壽持有大量不動產，房貸業務佔比高。
2882.TW,國泰金,20,5,0.04,房地產概念,金融與保險,旗下國泰人壽為台灣最大的地產持有者之一。
2891.TW,中信金,20,8,0.04,房地產概念,金融與保險,房貸業務規模龐大，受惠於房地產市場活絡。
9940.TW,信義房屋,20,9,0.03,房地產概念,房仲與物業管理,房仲服務。
9917.TW,中興保全,20,5,0.05,房地產概念,房仲與物業管理,物業管理與保全。
9911.TW,台灣櫻花,20,6,0.03,房地產概念,建材與裝潢,廚房衛浴產品。
